timestamp,air_temperature
1687474800,27.29
1687478400,27.515
1687482000,26.77
1687485600,26.415
1687489200,22.495
1687492800,22.525
1687496400,26.72
1687500000,29.18
1687503600,29.465
1687507200,29.7
1687510800,31.19
1687514400,31.89
1687518000,32.4
1687521600,32.975
1687525200,33.195
1687528800,30.055
1687532400,31.435
1687536000,29.945
1687539600,28.92
1687543200,28.025
1687546800,23.915
1687550400,22.11
1687554000,22.34
1687557600,22.35
1687561200,21.76
1687564800,20.105
1687568400,19.99
1687572000,19.355
1687575600,18.39
1687579200,18.02
1687582800,21.0
1687586400,24.18
1687590000,26.065
1687593600,27.445
1687597200,27.95
1687600800,29.135
1687604400,29.155
1687608000,29.64
1687611600,30.16
1687615200,30.25
1687618800,29.915
1687622400,29.015
1687626000,28.455
1687629600,25.925
1687633200,20.025
1687636800,18.48
1687640400,17.64
1687644000,17.23
1687647600,16.9
1687651200,17.045
1687654800,16.845
1687658400,16.6
1687662000,16.55
1687665600,17.39
1687669200,21.375
1687672800,25.41
1687676400,27.765
1687680000,27.78
1687683600,28.32
1687687200,29.58
1687690800,30.03
1687694400,30.405
1687698000,29.265
1687701600,30.75
1687705200,31.155
1687708800,30.83
1687712400,29.01
1687716000,25.565
1687719600,19.985
1687723200,19.035
1687726800,19.285
1687730400,18.69
1687734000,18.06
1687737600,17.475
1687741200,17.24
1687744800,17.045
1687748400,17.055
1687752000,17.86
1687755600,20.945
1687759200,24.085
1687762800,27.96
1687766400,29.705
1687770000,30.71
1687773600,31.535
1687777200,31.825
1687780800,32.895
1687784400,33.485
1687788000,33.76
1687791600,33.965
1687795200,33.15
1687798800,31.8
1687802400,28.785
1687806000,23.055
1687809600,21.785
1687813200,21.685
1687816800,21.545
1687820400,20.97
1687824000,20.62
1687827600,20.53
1687831200,20.24
1687834800,19.815
1687838400,20.36
1687842000,23.09
1687845600,25.585
1687849200,29.495
1687852800,32.505
1687856400,34.675
1687860000,34.91
1687863600,35.73
1687867200,35.69
1687870800,35.695
1687874400,35.565
1687878000,34.885
1687881600,34.365
1687885200,33.285
1687888800,29.62
1687892400,28.145
1687896000,28.08
1687899600,27.285
1687903200,24.28
1687906800,23.015
1687910400,22.78
1687914000,22.225
1687917600,21.57
1687921200,21.545
1687924800,21.31
1687928400,22.405
1687932000,23.195
1687935600,23.295
1687939200,22.71
1687942800,22.305
1687946400,23.745
1687950000,24.36
1687953600,25.025
1687957200,25.58
1687960800,26.085
1687964400,26.92
1687968000,26.54
1687971600,25.875
1687975200,23.975
1687978800,20.41
1687982400,18.18
1687986000,17.505
1687989600,16.24
