"refStructureName","companyName","fieldName","sectorName","plantRow","timestamp","optimal","actual"
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T0_2023","T0","T0",1687212000,4.0830403642987250,NULL
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T1 Basso_2023","T1","T1 basso",1687212000,4.0830403642987250,NULL
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T0_2023","T0","T0",1687298400,4.0830403642987250,3.46284813523878
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T1 Basso_2023","T1","T1 basso",1687298400,4.0830403642987250,3.45958396971956
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T0_2023","T0","T0",1687384800,4.0830403642987250,3.44872878693916
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T1 Basso_2023","T1","T1 basso",1687384800,4.0830403642987250,3.49472798784582
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T0_2023","T0","T0",1687471200,4.0830403642987250,3.44513108979233
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T1 Basso_2023","T1","T1 basso",1687471200,4.0830403642987250,3.49197131913459
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T0_2023","T0","T0",1687557600,4.0830403642987250,3.44825384912392
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T1 Basso_2023","T1","T1 basso",1687557600,4.0830403642987250,3.47259325788799
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T0_2023","T0","T0",1687644000,4.0830403642987250,3.45703712798929
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T1 Basso_2023","T1","T1 basso",1687644000,4.0830403642987250,3.47041508669524
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T0_2023","T0","T0",1687730400,4.0830403642987250,NULL
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T1 Basso_2023","T1","T1 basso",1687730400,4.0830403642987250,NULL
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T0_2023","T0","T0",1687816800,4.0830403642987250,NULL
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T1 Basso_2023","T1","T1 basso",1687816800,4.0830403642987250,NULL
"ZESPRI","AZ. AGR. DALLE FABBRICHE ANDREA","Fondo Errano_T0_2023","T0","T0",1687903200,4.0830403642987250,3.45779776138907
