"refStructureName","companyName","fieldName","sectorName","plantRow","detectedValueTypeId","timestamp","value"
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 basso","PLUV_CURR",1714003200,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 basso","DRIPPER",1714003200,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 basso","PLUV_CURR",1714003200,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 alto","DRIPPER",1714003200,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 alto","PLUV_CURR",1714003200,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 alto","DRIPPER",1714003200,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 alto","PLUV_CURR",1714003200,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 basso","DRIPPER",1714003200,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 alto","DRIPPER",1714089600,0.005
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 basso","DRIPPER",1714089600,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 basso","PLUV_CURR",1714089600,5
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 basso","DRIPPER",1714089600,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 alto","PLUV_CURR",1714089600,5
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 alto","DRIPPER",1714089600,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 alto","PLUV_CURR",1714089600,5
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 basso","PLUV_CURR",1714089600,5
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 alto","DRIPPER",1714176000,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 basso","DRIPPER",1714176000,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 alto","PLUV_CURR",1714176000,0.2
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 alto","PLUV_CURR",1714176000,0.2
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 basso","PLUV_CURR",1714176000,0.2
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 alto","DRIPPER",1714176000,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 basso","PLUV_CURR",1714176000,0.2
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 basso","DRIPPER",1714176000,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T0","T0 basso","DRIPPER",1714262400,0
"AGRINTESA2018","AZ. AGR. SAME","Fondo SAME 2024","T1","T1 alto","DRIPPER",1714262400,0
