timestamp,air_temperature
1655938800,23.565
1655942400,22.825
1655946000,22.48
1655949600,20.71
1655953200,20.38
1655956800,19.69
1655960400,22.37
1655964000,27.62
1655967600,28.73
1655971200,29.89
1655974800,31.32
1655978400,32.95
1655982000,33.86
1655985600,31.94
1655989200,28.48
1655992800,29.1
1655996400,27.91
1656000000,29.85
1656003600,30.9
1656007200,29.09
1656010800,27.4
1656014400,24.59
1656018000,22.54
1656021600,21.45
1656025200,20.79
1656028800,22.95
1656032400,23.16
1656036000,23.55
1656039600,21.15
1656043200,21.14
1656046800,25.12
1656050400,27.51
1656054000,28.52
1656057600,29.36
1656061200,30.15
1656064800,31.31
1656068400,31.77
1656072000,33.25
1656075600,33.94
1656079200,34.09
1656082800,33.88
1656086400,33.035
1656090000,32.3
1656093600,30.63
1656097200,26.76
1656100800,25.36
1656104400,24.67
1656108000,24.315
1656111600,23.16
1656115200,22.015
1656118800,20.54
1656122400,19.99
1656126000,18.74
1656129600,18.97
1656133200,20.1
1656136800,25.75
1656140400,26.9
1656144000,29.04
1656147600,29.73
1656151200,31.63
1656154800,32.67
1656158400,32.4
1656162000,33.81
1656165600,33.8
1656169200,33.64
1656172800,33.7
1656176400,32.67
1656180000,30.57
1656183600,27.42
1656187200,26.13
1656190800,25.49
1656194400,24.97
1656198000,23.27
1656201600,21.1
1656205200,20.32
1656208800,19.96
1656212400,18.73
1656216000,19.35
1656219600,23.52
1656223200,27.2
1656226800,30.07
1656230400,30.23
1656234000,30.79
1656237600,31.68
1656241200,32.77
1656244800,33.23
1656248400,33.25
1656252000,32.97
1656255600,32.665
1656259200,32.035
1656262800,30.655
1656266400,28.435
1656270000,24.375
1656273600,21.93
1656277200,22.005
1656280800,21.79
1656284400,21.85
1656288000,22.15
1656291600,21.995
1656295200,21.51
1656298800,21.09
1656302400,21.035
1656306000,23.635
1656309600,26.56
1656313200,30.015
1656316800,30.525
1656320400,31.665
1656324000,32.915
1656327600,34.405
1656331200,33.97
1656334800,34.68
1656338400,34.645
1656342000,34.795
1656345600,34.03
1656349200,32.495
1656352800,30.005
1656356400,25.94
1656360000,22.925
1656363600,22.08
1656367200,21.305
1656370800,20.4
1656374400,20.845
1656378000,19.835
1656381600,19.305
1656385200,19.305
1656388800,19.93
1656392400,22.765
1656396000,24.72
1656399600,25.795
1656403200,25.575
1656406800,25.96
1656410400,27.39
1656414000,27.715
1656417600,28.76
1656421200,27.015
1656424800,26.065
1656428400,24.965
1656432000,24.275
1656435600,24.085
1656439200,23.45
1656442800,22.93
1656446400,22.54
1656450000,21.94
1656453600,21.61
1656457200,21.815
1656460800,22.115
1656464400,21.345
1656468000,20.895
1656471600,20.645
1656475200,20.725
1656478800,25.305
1656482400,26.29
1656486000,25.615
1656489600,24.625
1656493200,25.755
1656496800,27.75
1656500400,29.91
1656504000,31.935
1656507600,32.43
1656511200,31.955
1656514800,30.67
1656518400,31.19
1656522000,29.99
1656525600,28.38
1656529200,26.395
1656532800,25.44
1656536400,24.575
1656540000,24.075
1656543600,23.515
1656547200,22.075
1656550800,20.425
1656554400,20.51
1656558000,20.79
1656561600,20.26
1656565200,24.865
1656568800,27.87
1656572400,29.285
1656576000,30.07
1656579600,31.18
1656583200,32.24
1656586800,33.05
1656590400,35.195
1656594000,36.0
1656597600,35.84
1656601200,32.935
1656604800,32.21
1656608400,31.325
1656612000,29.395
1656615600,22.915
1656619200,20.485
1656622800,18.77
1656626400,17.775
1656630000,18.665
1656633600,20.275
1656637200,19.38
1656640800,19.38
1656644400,18.815
1656648000,18.655
1656651600,22.71
1656655200,27.375
1656658800,30.275
1656662400,31.705
1656666000,33.745
1656669600,35.035
1656673200,34.715
1656676800,35.185
1656680400,35.845
1656684000,36.075
1656687600,35.41
1656691200,34.92
1656694800,33.845
1656698400,31.33
1656702000,27.385
1656705600,25.82
1656709200,26.195
1656712800,24.645
1656716400,23.475
1656720000,22.685
1656723600,22.035
1656727200,20.88
1656730800,20.25
1656734400,20.14
1656738000,23.03
1656741600,26.43
1656745200,28.67
1656748800,29.735
1656752400,30.495
1656756000,31.29
1656759600,32.41
1656763200,33.44
1656766800,34.355
1656770400,34.645
1656774000,34.905
1656777600,33.18
1656781200,31.88
1656784800,29.155
1656788400,24.755
1656792000,23.02
1656795600,23.525
1656799200,23.43
1656802800,22.71
1656806400,22.215
1656810000,21.49
1656813600,20.995
1656817200,20.64
1656820800,21.33
1656824400,24.77
1656828000,27.2
1656831600,30.65
1656835200,32.13
1656838800,32.565
1656842400,34.025
1656846000,35.135
1656849600,35.84
1656853200,36.055
1656856800,36.435
1656860400,36.195
1656864000,35.025
1656867600,34.105
1656871200,31.275
1656874800,25.135
1656878400,23.475
1656882000,24.255
1656885600,24.19
1656889200,23.56
1656892800,23.08
1656896400,22.815
1656900000,22.42
1656903600,22.165
1656907200,22.37
1656910800,25.545
1656914400,28.48
1656918000,31.835
1656921600,32.195
1656925200,33.57
1656928800,34.94
1656932400,35.69
1656936000,34.895
1656939600,36.675
1656943200,36.005
1656946800,35.435
1656950400,35.585
1656954000,33.385
1656957600,30.275
1656961200,27.125
1656964800,24.25
1656968400,23.31
1656972000,21.405
1656975600,21.76
1656979200,21.82
1656982800,21.135
1656986400,20.695
1656990000,18.36
1656993600,18.98
1656997200,22.775
1657000800,26.065
1657004400,30.155
1657008000,31.84
1657011600,31.215
1657015200,32.025
1657018800,33.13
1657022400,34.285
1657026000,34.74
1657029600,35.055
1657033200,35.06
1657036800,34.695
1657040400,35.05
1657044000,31.8
1657047600,26.96
1657051200,24.19
1657054800,23.735
1657058400,22.835
1657062000,21.865
1657065600,21.11
1657069200,20.55
1657072800,19.97
1657076400,20.665
1657080000,20.89
1657083600,22.285
1657087200,26.18
1657090800,28.055
1657094400,28.735
1657098000,29.39
1657101600,30.065
1657105200,30.79
1657108800,30.71
1657112400,29.165
1657116000,28.62
1657119600,28.04
1657123200,30.02
1657126800,29.745
1657130400,27.685
1657134000,21.79
1657137600,19.595
1657141200,19.02
1657144800,19.22
1657148400,19.14
1657152000,18.445
1657155600,18.275
1657159200,17.915
1657162800,17.59
1657166400,18.515
1657170000,21.595
1657173600,25.33
1657177200,27.68
1657180800,29.42
1657184400,30.07
1657188000,30.74
1657191600,31.17
1657195200,31.715
1657198800,31.59
1657202400,31.475
1657206000,30.025
1657209600,30.89
1657213200,29.37
1657216800,27.33
1657220400,22.205
1657224000,19.31
1657227600,18.605
1657231200,17.17
1657234800,16.74
1657238400,16.405
1657242000,16.05
1657245600,15.72
1657249200,15.91
1657252800,16.84
1657256400,19.7
1657260000,22.805
1657263600,25.24
1657267200,25.735
1657270800,26.67
1657274400,27.155
1657278000,27.87
1657281600,28.455
1657285200,29.25
1657288800,29.155
1657292400,28.905
1657296000,28.735
1657299600,28.13
1657303200,25.065
1657306800,18.9
1657310400,18.1
1657314000,17.585
1657317600,17.12
1657321200,16.915
1657324800,16.89
1657328400,16.425
1657332000,15.985
1657335600,15.56
1657339200,16.225
1657342800,21.855
1657346400,25.77
1657350000,25.355
1657353600,25.79
1657357200,26.3
1657360800,26.83
1657364400,27.345
1657368000,27.825
1657371600,28.365
1657375200,28.235
1657378800,28.41
1657382400,28.285
1657386000,27.12
1657389600,25.045
1657393200,19.42
1657396800,16.93
1657400400,16.915
1657404000,16.805
1657407600,16.63
1657411200,16.195
1657414800,15.84
1657418400,15.485
1657422000,15.11
1657425600,15.975
1657429200,19.525
1657432800,23.02
1657436400,27.205
1657440000,28.765
1657443600,28.6
1657447200,29.77
1657450800,30.605
1657454400,31.575
1657458000,32.11
1657461600,32.155
1657465200,32.26
1657468800,31.47
1657472400,30.105
1657476000,27.64
1657479600,22.685
1657483200,19.725
1657486800,20.81
1657490400,20.04
1657494000,19.42
1657497600,19.24
1657501200,18.46
1657504800,16.155
1657508400,15.885
1657512000,16.365
1657515600,20.52
1657519200,24.425
1657522800,25.955
1657526400,27.435
1657530000,28.7
1657533600,30.355
1657537200,30.69
1657540800,30.615
1657544400,29.925
1657548000,29.565
1657551600,29.42
1657555200,28.95
1657558800,28.255
1657562400,26.055
1657566000,23.225
1657569600,20.36
1657573200,19.15
1657576800,19.295
1657580400,19.235
1657584000,18.395
1657587600,17.83
1657591200,18.455
1657594800,18.115
1657598400,17.915
1657602000,21.28
1657605600,23.425
1657609200,25.22
1657612800,26.9
1657616400,27.445
1657620000,28.545
1657623600,29.53
1657627200,29.445
1657630800,29.865
1657634400,29.715
1657638000,28.985
1657641600,28.9
1657645200,27.84
1657648800,26.165
1657652400,23.89
1657656000,21.43
1657659600,20.225
1657663200,19.21
1657666800,18.72
1657670400,18.08
1657674000,17.245
1657677600,16.825
1657681200,16.43
1657684800,17.525
1657688400,21.105
1657692000,24.615
1657695600,26.865
1657699200,27.38
1657702800,28.33
1657706400,29.32
1657710000,30.59
1657713600,31.41
1657717200,31.82
1657720800,32.56
1657724400,32.03
1657728000,30.69
1657731600,30.245
1657735200,27.295
1657738800,20.695
1657742400,18.915
1657746000,19.43
1657749600,19.475
