timestamp,z20_y0_x0,z20_y0_x5,z20_y0_x10,z20_y0_x15,z20_y0_x20,z20_y0_x25,z20_y0_x30,z20_y0_x35,z20_y0_x40,z20_y0_x45,z20_y0_x50,z20_y0_x55,z20_y0_x60,z20_y0_x65,z20_y0_x70,z20_y0_x75,z20_y0_x80,z25_y0_x0,z25_y0_x5,z25_y0_x10,z25_y0_x15,z25_y0_x20,z25_y0_x25,z25_y0_x30,z25_y0_x35,z25_y0_x40,z25_y0_x45,z25_y0_x50,z25_y0_x55,z25_y0_x60,z25_y0_x65,z25_y0_x70,z25_y0_x75,z25_y0_x80,z30_y0_x0,z30_y0_x5,z30_y0_x10,z30_y0_x15,z30_y0_x20,z30_y0_x25,z30_y0_x30,z30_y0_x35,z30_y0_x40,z30_y0_x45,z30_y0_x50,z30_y0_x55,z30_y0_x60,z30_y0_x65,z30_y0_x70,z30_y0_x75,z30_y0_x80,z35_y0_x0,z35_y0_x5,z35_y0_x10,z35_y0_x15,z35_y0_x20,z35_y0_x25,z35_y0_x30,z35_y0_x35,z35_y0_x40,z35_y0_x45,z35_y0_x50,z35_y0_x55,z35_y0_x60,z35_y0_x65,z35_y0_x70,z35_y0_x75,z35_y0_x80,z40_y0_x0,z40_y0_x5,z40_y0_x10,z40_y0_x15,z40_y0_x20,z40_y0_x25,z40_y0_x30,z40_y0_x35,z40_y0_x40,z40_y0_x45,z40_y0_x50,z40_y0_x55,z40_y0_x60,z40_y0_x65,z40_y0_x70,z40_y0_x75,z40_y0_x80,z45_y0_x0,z45_y0_x5,z45_y0_x10,z45_y0_x15,z45_y0_x20,z45_y0_x25,z45_y0_x30,z45_y0_x35,z45_y0_x40,z45_y0_x45,z45_y0_x50,z45_y0_x55,z45_y0_x60,z45_y0_x65,z45_y0_x70,z45_y0_x75,z45_y0_x80,z50_y0_x0,z50_y0_x5,z50_y0_x10,z50_y0_x15,z50_y0_x20,z50_y0_x25,z50_y0_x30,z50_y0_x35,z50_y0_x40,z50_y0_x45,z50_y0_x50,z50_y0_x55,z50_y0_x60,z50_y0_x65,z50_y0_x70,z50_y0_x75,z50_y0_x80,z55_y0_x0,z55_y0_x5,z55_y0_x10,z55_y0_x15,z55_y0_x20,z55_y0_x25,z55_y0_x30,z55_y0_x35,z55_y0_x40,z55_y0_x45,z55_y0_x50,z55_y0_x55,z55_y0_x60,z55_y0_x65,z55_y0_x70,z55_y0_x75,z55_y0_x80,z60_y0_x0,z60_y0_x5,z60_y0_x10,z60_y0_x15,z60_y0_x20,z60_y0_x25,z60_y0_x30,z60_y0_x35,z60_y0_x40,z60_y0_x45,z60_y0_x50,z60_y0_x55,z60_y0_x60,z60_y0_x65,z60_y0_x70,z60_y0_x75,z60_y0_x80
1655938800,-22.049,-21.375,-21.375,-21.306,-22.929,-22.929,-33.617,-33.617,-61.718,-146.929,-146.929,-288.624,-387.983,-387.983,-446.225,-446.225,-497.174,-21.817,-21.226,-21.226,-21.246,-22.958,-22.958,-33.797,-33.797,-62.464,-150.488,-150.488,-296.300,-388.244,-388.244,-431.340,-431.340,-461.384,-21.629,-21.132,-21.132,-21.257,-23.075,-23.075,-34.131,-34.131,-63.534,-154.814,-154.814,-303.656,-384.869,-384.869,-410.771,-410.771,-420.773,-21.866,-21.517,-21.517,-21.817,-23.829,-23.829,-35.468,-35.468,-66.756,-165.878,-165.878,-316.793,-369.118,-369.118,-362.052,-362.052,-341.623,-22.865,-22.514,-22.514,-22.824,-24.879,-24.879,-36.909,-36.909,-69.339,-172.920,-172.920,-319.975,-351.705,-351.705,-327.952,-327.952,-295.499,-26.131,-25.496,-25.496,-25.587,-27.580,-27.580,-40.338,-40.338,-73.971,-175.119,-175.119,-299.508,-306.549,-306.549,-271.021,-271.021,-233.688,-31.303,-30.097,-30.097,-29.723,-31.490,-31.490,-45.066,-45.066,-79.848,-177.867,-177.867,-277.624,-264.453,-264.453,-222.924,-222.924,-185.820,-48.645,-44.823,-44.823,-42.354,-42.871,-42.871,-57.928,-57.928,-94.640,-183.932,-183.932,-237.261,-201.528,-201.528,-159.549,-159.549,-128.580,-61.104,-54.859,-54.859,-50.539,-49.920,-49.920,-65.500,-65.500,-102.784,-185.828,-185.828,-221.117,-181.332,-181.332,-141.305,-141.305,-113.227
1655942400,-21.941,-21.603,-21.603,-21.833,-23.995,-23.995,-33.636,-33.636,-60.129,-142.298,-142.298,-286.189,-387.531,-387.531,-446.040,-446.040,-496.631,-21.821,-21.529,-21.529,-21.820,-24.045,-24.045,-33.807,-33.807,-60.780,-145.548,-145.548,-293.676,-387.763,-387.763,-431.211,-431.211,-461.109,-21.780,-21.540,-21.540,-21.902,-24.205,-24.205,-34.150,-34.150,-61.791,-149.699,-149.699,-301.022,-384.433,-384.433,-410.688,-410.688,-420.632,-22.475,-22.300,-22.300,-22.760,-25.197,-25.197,-35.667,-35.667,-65.052,-160.508,-160.508,-314.178,-368.573,-368.573,-361.687,-361.687,-341.205,-23.753,-23.542,-23.542,-23.977,-26.447,-26.447,-37.325,-37.325,-67.820,-167.270,-167.270,-316.916,-350.502,-350.502,-326.791,-326.791,-294.303,-26.460,-26.069,-26.069,-26.348,-28.813,-28.813,-40.415,-40.415,-72.350,-170.392,-170.392,-297.314,-305.858,-305.858,-270.348,-270.348,-233.161,-30.883,-30.094,-30.094,-30.008,-32.351,-32.351,-44.856,-44.856,-78.280,-173.827,-173.827,-275.810,-263.881,-263.881,-222.435,-222.435,-185.683,-46.578,-43.661,-43.661,-41.695,-43.030,-43.030,-57.354,-57.354,-93.320,-181.013,-181.013,-236.046,-201.252,-201.252,-159.519,-159.519,-129.125,-57.808,-52.826,-52.826,-49.159,-49.488,-49.488,-64.513,-64.513,-101.370,-183.529,-183.529,-220.479,-181.536,-181.536,-141.772,-141.772,-114.272
1655946000,-21.992,-21.866,-21.866,-22.358,-24.859,-24.859,-33.804,-33.804,-58.768,-137.709,-137.709,-283.470,-386.981,-386.981,-445.788,-445.788,-496.038,-21.950,-21.851,-21.851,-22.385,-24.933,-24.933,-33.979,-33.979,-59.355,-140.682,-140.682,-290.770,-387.189,-387.189,-431.015,-431.015,-460.774,-22.025,-21.955,-21.955,-22.535,-25.141,-25.141,-34.345,-34.345,-60.326,-144.656,-144.656,-298.106,-383.906,-383.906,-410.539,-410.539,-420.428,-23.021,-22.973,-22.973,-23.602,-26.317,-26.317,-36.014,-36.014,-63.649,-155.234,-155.234,-311.299,-367.939,-367.939,-361.247,-361.247,-340.708,-24.385,-24.295,-24.295,-24.889,-27.646,-27.646,-37.760,-37.760,-66.528,-161.816,-161.816,-313.665,-349.259,-349.259,-325.608,-325.608,-293.098,-26.832,-26.612,-26.612,-27.080,-29.862,-29.862,-40.660,-40.660,-70.961,-165.709,-165.709,-294.941,-305.103,-305.103,-269.629,-269.629,-232.597,-30.750,-30.239,-30.239,-30.412,-33.144,-33.144,-44.840,-44.840,-76.852,-169.792,-169.792,-273.873,-263.263,-263.263,-221.921,-221.921,-185.523,-44.872,-42.667,-42.667,-41.200,-43.171,-43.171,-56.852,-56.852,-91.985,-178.085,-178.085,-234.786,-200.967,-200.967,-159.504,-159.504,-129.663,-55.096,-51.159,-51.159,-48.140,-49.239,-49.239,-63.712,-63.712,-99.976,-181.172,-181.172,-219.766,-181.677,-181.677,-142.182,-142.182,-115.210
1655949600,-22.137,-22.154,-22.154,-22.861,-25.586,-25.586,-34.046,-34.046,-57.619,-133.237,-133.237,-280.481,-386.344,-386.344,-445.483,-445.483,-495.405,-22.157,-22.190,-22.190,-22.926,-25.687,-25.687,-34.234,-34.234,-58.165,-135.962,-135.962,-287.594,-386.532,-386.532,-430.765,-430.765,-460.389,-22.321,-22.369,-22.369,-23.134,-25.941,-25.941,-34.630,-34.630,-59.112,-139.764,-139.764,-294.917,-383.300,-383.300,-410.336,-410.336,-420.173,-23.513,-23.561,-23.561,-24.348,-27.256,-27.256,-36.420,-36.420,-62.497,-150.131,-150.131,-308.165,-367.228,-367.228,-360.745,-360.745,-340.146,-24.901,-24.911,-24.911,-25.662,-28.622,-28.622,-38.202,-38.202,-65.436,-156.595,-156.595,-310.231,-347.982,-347.982,-324.413,-324.413,-291.892,-27.194,-27.103,-27.103,-27.749,-30.757,-30.757,-40.979,-40.979,-69.775,-161.122,-161.122,-292.397,-304.292,-304.292,-268.874,-268.874,-232.008,-30.759,-30.446,-30.446,-30.850,-33.856,-33.856,-44.941,-44.941,-75.575,-165.796,-165.796,-271.819,-262.604,-262.604,-221.388,-221.388,-185.348,-43.512,-41.860,-41.860,-40.854,-43.315,-43.315,-56.436,-56.436,-90.665,-175.154,-175.154,-233.482,-200.675,-200.675,-159.502,-159.502,-130.190,-52.863,-49.773,-49.773,-47.367,-49.089,-49.089,-63.052,-63.052,-98.612,-178.770,-178.770,-218.982,-181.764,-181.764,-142.545,-142.545,-116.064
1655953200,-22.352,-22.468,-22.468,-23.349,-26.229,-26.229,-34.342,-34.342,-56.688,-128.985,-128.985,-277.284,-385.673,-385.673,-445.175,-445.175,-494.781,-22.421,-22.548,-22.548,-23.448,-26.357,-26.357,-34.547,-34.547,-57.209,-131.492,-131.492,-284.208,-385.843,-385.843,-430.511,-430.511,-460.005,-22.652,-22.786,-22.786,-23.705,-26.652,-26.652,-34.973,-34.973,-58.143,-135.127,-135.127,-291.512,-382.661,-382.661,-410.127,-410.127,-419.916,-23.972,-24.097,-24.097,-25.024,-28.071,-28.071,-36.856,-36.856,-61.578,-145.290,-145.290,-304.823,-366.479,-366.479,-360.224,-360.224,-339.565,-25.363,-25.454,-25.454,-26.349,-29.458,-29.458,-38.651,-38.651,-64.539,-151.667,-151.667,-306.655,-346.705,-346.705,-323.241,-323.241,-290.720,-27.547,-27.557,-27.557,-28.364,-31.539,-31.539,-41.339,-41.339,-68.788,-156.706,-156.706,-289.719,-303.459,-303.459,-268.120,-268.120,-231.428,-30.848,-30.684,-30.684,-31.292,-34.501,-34.501,-45.121,-45.121,-74.466,-161.897,-161.897,-269.678,-261.936,-261.936,-220.869,-220.869,-185.188,-42.455,-41.228,-41.228,-40.634,-43.474,-43.474,-56.115,-56.115,-89.402,-172.244,-172.244,-232.155,-200.394,-200.394,-159.528,-159.528,-130.719,-51.035,-48.622,-48.622,-46.781,-49.005,-49.005,-62.513,-62.513,-97.302,-176.351,-176.351,-218.150,-181.820,-181.820,-142.884,-142.884,-116.861
1655956800,-22.611,-22.800,-22.800,-23.820,-26.810,-26.810,-34.666,-34.666,-55.939,-124.984,-124.984,-273.887,-384.963,-384.963,-444.865,-444.865,-494.164,-22.722,-22.917,-22.917,-23.949,-26.964,-26.964,-34.890,-34.890,-56.446,-127.299,-127.299,-280.622,-385.119,-385.119,-430.254,-430.254,-459.620,-23.003,-23.201,-23.201,-24.246,-27.296,-27.296,-35.345,-35.345,-57.375,-130.777,-130.777,-287.899,-381.987,-381.987,-409.913,-409.913,-419.655,-24.409,-24.595,-24.595,-25.643,-28.796,-28.796,-37.300,-37.300,-60.846,-140.735,-140.735,-301.282,-365.693,-365.693,-359.686,-359.686,-338.965,-25.793,-25.950,-25.950,-26.970,-30.195,-30.195,-39.097,-39.097,-63.805,-147.041,-147.041,-302.941,-345.426,-345.426,-322.091,-322.091,-289.583,-27.890,-27.981,-27.981,-28.931,-32.235,-32.235,-41.715,-41.715,-67.966,-152.483,-152.483,-286.908,-302.606,-302.606,-267.367,-267.367,-230.860,-30.985,-30.938,-30.938,-31.722,-35.089,-35.089,-45.347,-45.347,-73.506,-158.116,-158.116,-267.451,-261.258,-261.258,-220.363,-220.363,-185.043,-41.639,-40.742,-40.742,-40.509,-43.645,-43.645,-55.875,-55.875,-88.207,-169.364,-169.364,-230.800,-200.121,-200.121,-159.578,-159.578,-131.245,-49.540,-47.667,-47.667,-46.333,-48.965,-48.965,-62.072,-62.072,-96.051,-173.923,-173.923,-217.269,-181.848,-181.848,-143.206,-143.206,-117.611
1655960400,-22.939,-23.182,-23.182,-24.312,-27.390,-27.390,-35.061,-35.061,-55.441,-121.417,-121.417,-270.480,-384.365,-384.365,-444.692,-444.692,-493.685,-23.083,-23.329,-23.329,-24.469,-27.569,-27.569,-35.306,-35.306,-55.942,-123.565,-123.565,-277.019,-384.506,-384.506,-430.134,-430.134,-459.371,-23.402,-23.649,-23.649,-24.798,-27.931,-27.931,-35.786,-35.786,-56.868,-126.886,-126.886,-284.253,-381.417,-381.417,-409.830,-409.830,-419.525,-24.862,-25.098,-25.098,-26.249,-29.488,-29.488,-37.791,-37.791,-60.352,-136.615,-136.615,-297.682,-364.986,-364.986,-359.249,-359.249,-338.468,-26.232,-26.443,-26.443,-27.574,-30.892,-30.892,-39.583,-39.583,-63.289,-142.839,-142.839,-299.211,-344.250,-344.250,-321.069,-321.069,-288.585,-28.255,-28.413,-28.413,-29.487,-32.897,-32.897,-42.139,-42.139,-67.357,-148.576,-148.576,-284.071,-301.826,-301.826,-266.714,-266.714,-230.399,-31.181,-31.227,-31.227,-32.166,-35.659,-35.659,-45.641,-45.641,-72.752,-154.562,-154.562,-265.225,-260.654,-260.654,-219.956,-219.956,-184.993,-41.041,-40.401,-40.401,-40.481,-43.855,-43.855,-55.742,-55.742,-87.146,-166.583,-166.583,-229.479,-199.914,-199.914,-159.704,-159.704,-131.819,-48.347,-46.903,-46.903,-46.017,-48.984,-48.984,-61.746,-61.746,-94.910,-171.547,-171.547,-216.393,-181.901,-181.901,-143.558,-143.558,-118.363
1655964000,-23.429,-23.714,-23.714,-24.940,-28.104,-28.104,-35.680,-35.680,-55.430,-118.741,-118.741,-267.561,-384.286,-384.286,-445.033,-445.033,-493.694,-23.600,-23.887,-23.887,-25.120,-28.304,-28.304,-35.944,-35.944,-55.932,-120.740,-120.740,-273.893,-384.404,-384.404,-430.527,-430.527,-459.614,-23.944,-24.231,-24.231,-25.471,-28.687,-28.687,-36.439,-36.439,-56.845,-123.888,-123.888,-281.034,-381.328,-381.328,-410.238,-410.238,-419.878,-25.428,-25.704,-25.704,-26.947,-30.272,-30.272,-38.461,-38.461,-60.293,-133.294,-133.294,-294.399,-364.672,-364.672,-359.228,-359.228,-338.388,-26.774,-27.030,-27.030,-28.260,-31.668,-31.668,-40.232,-40.232,-63.180,-139.381,-139.381,-295.791,-343.457,-343.457,-320.463,-320.463,-288.013,-28.726,-28.939,-28.939,-30.125,-33.633,-33.633,-42.724,-42.724,-67.141,-145.278,-145.278,-281.487,-301.376,-301.376,-266.421,-266.421,-230.300,-31.506,-31.627,-31.627,-32.703,-36.310,-36.310,-46.105,-46.105,-72.373,-151.494,-151.494,-263.237,-260.349,-260.349,-219.871,-219.871,-185.253,-40.695,-40.256,-40.256,-40.606,-44.179,-44.179,-55.804,-55.804,-86.373,-164.086,-164.086,-228.354,-199.931,-199.931,-160.058,-160.058,-132.583,-47.478,-46.373,-46.373,-45.879,-49.127,-49.127,-61.615,-61.615,-94.011,-169.374,-169.374,-215.659,-182.112,-182.112,-144.070,-144.070,-119.238
1655967600,-24.083,-24.403,-24.403,-25.714,-28.969,-28.969,-36.529,-36.529,-55.884,-116.967,-116.967,-265.202,-384.738,-384.738,-445.900,-445.900,-494.199,-24.275,-24.597,-24.597,-25.914,-29.189,-29.189,-36.810,-36.810,-56.391,-118.836,-118.836,-271.317,-384.826,-384.826,-431.444,-431.444,-460.360,-24.634,-24.955,-24.955,-26.278,-29.584,-29.584,-37.313,-37.313,-57.283,-121.794,-121.794,-278.317,-381.731,-381.731,-411.150,-411.150,-420.722,-26.116,-26.427,-26.427,-27.755,-31.171,-31.171,-39.318,-39.318,-60.651,-130.787,-130.787,-291.492,-364.764,-364.764,-359.634,-359.634,-338.737,-27.431,-27.725,-27.725,-29.045,-32.546,-32.546,-41.055,-41.055,-63.463,-136.680,-136.680,-292.728,-343.059,-343.059,-320.281,-320.281,-287.874,-29.313,-29.572,-29.572,-30.859,-34.465,-34.465,-43.478,-43.478,-67.301,-142.615,-142.615,-279.191,-301.266,-301.266,-266.496,-266.496,-230.569,-31.961,-32.144,-32.144,-33.343,-37.058,-37.058,-46.741,-46.741,-72.355,-148.940,-148.940,-261.509,-260.350,-260.350,-220.116,-220.116,-185.825,-40.571,-40.293,-40.293,-40.875,-44.622,-44.622,-56.056,-56.056,-85.896,-161.894,-161.894,-227.432,-200.175,-200.175,-160.642,-160.642,-133.534,-46.894,-46.059,-46.059,-45.905,-49.394,-49.394,-61.671,-61.671,-93.360,-167.422,-167.422,-215.072,-182.487,-182.487,-144.747,-144.747,-120.237
1655971200,-24.982,-25.333,-25.333,-26.729,-30.097,-30.097,-37.735,-37.735,-56.985,-116.397,-116.397,-263.797,-386.012,-386.012,-447.554,-447.554,-495.442,-25.191,-25.543,-25.543,-26.944,-30.332,-30.332,-38.032,-38.032,-57.498,-118.152,-118.152,-269.683,-386.056,-386.056,-433.149,-433.149,-461.856,-25.554,-25.905,-25.905,-27.311,-30.728,-30.728,-38.529,-38.529,-58.354,-120.892,-120.892,-276.471,-382.894,-382.894,-412.817,-412.817,-422.302,-27.004,-27.346,-27.346,-28.759,-32.281,-32.281,-40.476,-40.476,-61.576,-129.337,-129.337,-289.262,-365.483,-365.483,-360.690,-360.690,-339.733,-28.275,-28.604,-28.604,-30.011,-33.619,-33.619,-42.157,-42.157,-64.278,-134.953,-134.953,-290.280,-343.254,-343.254,-320.726,-320.726,-288.367,-30.083,-30.381,-30.381,-31.764,-35.478,-35.478,-44.495,-44.495,-67.967,-140.789,-140.789,-277.400,-301.676,-301.676,-267.124,-267.124,-231.381,-32.605,-32.840,-32.840,-34.151,-37.980,-37.980,-47.634,-47.634,-72.820,-147.086,-147.086,-260.218,-260.817,-260.817,-220.849,-220.849,-186.855,-40.701,-40.550,-40.550,-41.336,-45.244,-45.244,-56.564,-56.564,-85.818,-160.144,-160.144,-226.833,-200.757,-200.757,-161.561,-161.561,-134.768,-46.611,-45.993,-45.993,-46.132,-49.838,-49.838,-61.973,-61.973,-93.049,-165.803,-165.803,-214.733,-183.119,-183.119,-145.675,-145.675,-121.440
