timestamp,air_humidity
1655938800,78.35
1655942400,79.55
1655946000,80.5
1655949600,84.3
1655953200,86.0
1655956800,88.1
1655960400,87.1
1655964000,72.6
1655967600,67.6
1655971200,62.2
1655974800,57.0
1655978400,51.0
1655982000,46.5
1655985600,48.6
1655989200,57.2
1655992800,57.4
1655996400,60.8
1656000000,53.4
1656003600,52.3
1656007200,54.8
1656010800,58.9
1656014400,67.3
1656018000,76.7
1656021600,80.9
1656025200,82.15
1656028800,75.0
1656032400,72.6
1656036000,70.7
1656039600,75.8
1656043200,77.6
1656046800,71.7
1656050400,66.1
1656054000,56.6
1656057600,54.0
1656061200,50.4
1656064800,45.7
1656068400,44.8
1656072000,41.1
1656075600,38.8
1656079200,35.8
1656082800,34.7
1656086400,36.4
1656090000,33.6
1656093600,36.9
1656097200,47.6
1656100800,48.8
1656104400,54.3
1656108000,56.65
1656111600,60.9
1656115200,65.45
1656118800,70.3
1656122400,74.7
1656126000,80.3
1656129600,82.9
1656133200,83.4
1656136800,69.8
1656140400,63.4
1656144000,55.4
1656147600,49.5
1656151200,46.65
1656154800,43.8
1656158400,42.6
1656162000,40.0
1656165600,37.6
1656169200,35.0
1656172800,32.6
1656176400,32.3
1656180000,33.4
1656183600,39.6
1656187200,44.4
1656190800,44.4
1656194400,45.65
1656198000,50.15
1656201600,57.0
1656205200,61.1
1656208800,64.3
1656212400,68.2
1656216000,70.2
1656219600,64.2
1656223200,57.9
1656226800,52.2
1656230400,45.4
1656234000,44.6
1656237600,44.6
1656241200,43.5
1656244800,44.15
1656248400,45.75
1656252000,45.6
1656255600,44.65
1656259200,46.3
1656262800,48.3
1656266400,53.15
1656270000,64.35
1656273600,74.1
1656277200,73.7
1656280800,74.3
1656284400,74.75
1656288000,73.35
1656291600,72.45
1656295200,72.75
1656298800,72.2
1656302400,71.55
1656306000,65.45
1656309600,60.2
1656313200,55.35
1656316800,53.9
1656320400,52.35
1656324000,49.8
1656327600,44.95
1656331200,43.85
1656334800,46.25
1656338400,49.75
1656342000,49.05
1656345600,50.3
1656349200,54.15
1656352800,61.65
1656356400,72.05
1656360000,81.2
1656363600,84.4
1656367200,87.5
1656370800,89.45
1656374400,89.5
1656378000,90.55
1656381600,91.1
1656385200,90.85
1656388800,88.45
1656392400,82.55
1656396000,75.1
1656399600,71.15
1656403200,72.25
1656406800,73.55
1656410400,71.9
1656414000,69.95
1656417600,58.9
1656421200,67.15
1656424800,69.45
1656428400,74.9
1656432000,79.35
1656435600,78.8
1656439200,80.3
1656442800,81.7
1656446400,82.5
1656450000,84.5
1656453600,84.4
1656457200,82.85
1656460800,81.55
1656464400,85.65
1656468000,88.9
1656471600,90.65
1656475200,89.9
1656478800,76.7
1656482400,69.45
1656486000,69.55
1656489600,75.7
1656493200,72.95
1656496800,66.15
1656500400,60.0
1656504000,54.15
1656507600,50.75
1656511200,50.2
1656514800,51.95
1656518400,50.2
1656522000,50.6
1656525600,53.4
1656529200,57.05
1656532800,60.25
1656536400,62.45
1656540000,63.15
1656543600,64.55
1656547200,67.7
1656550800,72.2
1656554400,71.95
1656558000,69.1
1656561600,71.25
1656565200,60.25
1656568800,51.5
1656572400,49.15
1656576000,47.5
1656579600,45.6
1656583200,41.9
1656586800,39.6
1656590400,35.25
1656594000,32.7
