timestamp,air_temperature
1719097200,21.33
1719100800,21.225
1719104400,20.79
1719108000,19.875
1719111600,19.185
1719115200,20.885
1719118800,21.525
1719122400,20.1
1719126000,18.67
1719129600,19.365
1719133200,20.02
1719136800,20.99
1719140400,22.195
1719144000,19.97
1719147600,21.395
1719151200,21.695
1719154800,21.93
1719158400,21.72
1719162000,22.045
1719165600,20.92
1719169200,19.52
1719172800,19.02
1719176400,18.84
1719180000,18.76
1719183600,18.645
1719187200,18.26
1719190800,17.96
1719194400,17.88
1719198000,17.57
1719201600,17.825
1719205200,18.88
1719208800,19.49
1719212400,21.21
1719216000,20.7
1719219600,21.235
1719223200,20.34
1719226800,19.78
1719230400,19.65
1719234000,18.9
1719237600,19.0
1719241200,19.475
1719244800,19.225
1719248400,19.045
1719252000,19.2
1719255600,18.9
1719259200,18.77
1719262800,19.14
1719266400,19.505
1719270000,19.71
1719273600,19.68
1719277200,19.455
1719280800,19.345
1719284400,19.325
1719288000,19.3
1719291600,21.325
1719295200,22.095
1719298800,22.615
1719302400,23.76
1719306000,26.07
1719309600,26.76
1719313200,27.095
1719316800,26.59
1719320400,24.12
1719324000,20.635
1719327600,22.13
1719331200,20.6
1719334800,19.92
1719338400,19.295
1719342000,18.41
1719345600,18.005
1719349200,17.46
1719352800,16.615
1719356400,16.655
1719360000,16.59
1719363600,16.395
1719367200,15.99
1719370800,15.62
1719374400,15.475
1719378000,16.115
1719381600,17.89
1719385200,20.505
1719388800,22.845
1719392400,24.96
1719396000,26.255
1719399600,27.065
1719403200,26.175
1719406800,22.82
1719410400,21.355
1719414000,21.05
1719417600,22.47
1719421200,23.505
1719424800,21.75
1719428400,19.56
1719432000,18.685
1719435600,18.52
1719439200,18.245
1719442800,17.835
1719446400,17.835
1719450000,18.03
1719453600,18.27
1719457200,17.965
1719460800,18.44
1719464400,21.165
1719468000,24.16
1719471600,26.705
1719475200,27.94
1719478800,27.73
1719482400,28.455
1719486000,29.13
1719489600,30.525
1719493200,31.765
1719496800,32.705
1719500400,31.77
1719504000,30.97
1719507600,30.39
1719511200,28.1
1719514800,25.5
1719518400,24.44
1719522000,23.865
1719525600,23.46
1719529200,22.94
1719532800,22.73
1719536400,22.18
1719540000,21.0
1719543600,20.68
1719547200,21.115
1719550800,23.875
1719554400,26.745
1719558000,30.26
1719561600,31.4
1719565200,32.305
1719568800,32.92
1719572400,33.2
1719576000,34.525
1719579600,35.145
1719583200,35.685
1719586800,35.005
1719590400,34.465
1719594000,33.575
1719597600,30.745
1719601200,25.41
1719604800,23.735
1719608400,23.495
1719612000,22.94
1719615600,22.5
1719619200,22.015
1719622800,21.595
1719626400,21.305
1719630000,21.135
1719633600,21.52
1719637200,23.635
1719640800,27.13
1719644400,29.6
1719648000,30.615
1719651600,32.33
1719655200,32.745
